12 header lines (incl this one)
Object: KIC846
UT Date for start of observations: 2017.05.02
Observer: B.Gary
Band: V-band
Telescope: Meade 14" LX200-GPS
CCD: SBIG ST-10XME
Col 1: MJD
Col 2: V-mag
Col 3: SE
Col 4: air mass

57875.29003	11.9083	0.0036	2.517
57875.29051	11.9051	0.0036	2.506
57875.29098	11.9075	0.0036	2.494
57875.29147	11.9076	0.0027	2.483
57875.29200	11.9045	0.0030	2.470
57875.29248	11.9060	0.0032	2.459
57875.29295	11.8975	0.0034	2.448
57875.29344	11.9232	0.0035	2.437
57875.29391	11.9090	0.0036	2.426
57875.29440	11.9116	0.0036	2.416
57875.29487	11.8923	0.0036	2.405
57875.29536	11.9072	0.0036	2.394
57875.29584	11.9103	0.0035	2.384
57875.29632	11.8845	0.0034	2.373
57875.29679	11.8995	0.0032	2.363
57875.29728	11.9145	0.0031	2.353
57875.29777	11.9057	0.0031	2.343
57875.29824	11.9204	0.0029	2.333
57875.29873	11.9075	0.0028	2.323
57875.29920	11.9070	0.0028	2.313
57875.29969	11.9157	0.0027	2.303
57875.30016	11.9088	0.0028	2.294
57875.30064	11.9050	0.0028	2.284
57875.30112	11.9181	0.0029	2.275
57875.30160	11.9098	0.0030	2.265
57875.30207	11.9148	0.0031	2.256
57875.30256	11.9153	0.0032	2.247
57875.30303	11.9085	0.0033	2.238
57875.30351	11.9020	0.0033	2.229
57875.30397	11.9005	0.0033	2.220
57875.30444	11.9048	0.0033	2.211
57875.30493	11.9090	0.0033	2.202
57875.30541	11.9190	0.0032	2.193
57875.30589	11.9024	0.0032	2.184
57875.30637	11.9045	0.0031	2.176
57875.30684	11.9202	0.0029	2.167
57875.30731	11.9059	0.0028	2.159
57875.30779	11.9076	0.0027	2.151
57875.30826	11.9198	0.0026	2.142
57875.30875	11.9109	0.0025	2.134
57875.30922	11.9070	0.0026	2.126
57875.30971	11.9079	0.0027	2.118
57875.31019	11.9042	0.0029	2.110
57875.31067	11.9132	0.0032	2.101
57875.31116	11.9234	0.0035	2.093
57875.31163	11.9052	0.0037	2.086
57875.31211	11.8928	0.0039	2.078
57875.31259	11.9037	0.0041	2.070
57875.31307	11.9151	0.0042	2.062
57875.31355	11.9221	0.0043	2.055
57875.31403	11.9011	0.0043	2.047
57875.31451	11.9143	0.0042	2.039
57875.31500	11.9162	0.0041	2.032
57875.31547	11.9113	0.0040	2.025
57875.31595	11.9125	0.0039	2.017
57875.31644	11.9017	0.0038	2.010
57875.31691	11.8968	0.0037	2.003
57875.31738	11.9063	0.0037	1.996
57875.31786	11.9094	0.0037	1.989
57875.31833	11.8988	0.0038	1.982
57875.31929	11.9106	0.0038	1.968
57875.31978	11.9129	0.0037	1.961
57875.32025	11.9206	0.0037	1.954
57875.32073	11.8943	0.0035	1.947
57875.32122	11.8995	0.0034	1.940
57875.32170	11.9062	0.0033	1.934
57875.32219	11.9042	0.0032	1.927
57875.32266	11.8957	0.0031	1.920
57875.32314	11.8984	0.0030	1.914
57875.32362	11.9173	0.0029	1.907
57875.32410	11.9020	0.0029	1.901
57875.32458	11.9106	0.0028	1.894
57875.32507	11.9018	0.0028	1.888
57875.32554	11.9035	0.0028	1.882
57875.32602	11.8937	0.0028	1.876
57875.32650	11.9057	0.0028	1.869
57875.32698	11.8981	0.0027	1.863
57875.32747	11.9046	0.0027	1.857
57875.32794	11.9160	0.0026	1.851
57875.32843	11.9022	0.0025	1.845
57875.32891	11.9180	0.0024	1.839
57875.32940	11.9044	0.0023	1.833
57875.32988	11.9116	0.0023	1.827
